player_name,round_number,season,playoffownership,topownership,eliteownership,topdiff,elitediff
A.J. Brown,2.1,2021,0.0431712962962963,0.0221763795771016,0.012422360248447204,-0.0209949167191947,-0.030748936047849094
A.J. Green,14.4,2021,0.10185185185185185,0.11526560082516761,0.13664596273291926,0.013413748973315764,0.03479411088106742
AJ Dillon,9.3,2021,0.09301697530864197,0.07993811242908716,0.08074534161490683,-0.013078862879554815,-0.012271633693735143
Aaron Jones,1.4,2021,0.08954475308641975,0.0997937080969572,0.09937888198757763,0.01024895501053745,0.009834128901157882
Aaron Rodgers,8.3,2021,0.10189043209876543,0.10185662712738525,0.10144927536231885,-3.380497138018301e-5,-4.411567364465824e-4
Adam Humphries,17.5,2021,0.011304012345679012,0.011603919546157814,0.014492753623188406,2.9990720047880226e-4,0.003188741277509394
Adam Thielen,4.5,2021,0.10061728395061728,0.0892212480660134,0.06832298136645963,-0.011396035884603875,-0.03229430258415765
Adam Trautman,13.3,2021,0.06500771604938271,0.05827746260959257,0.047619047619047616,-0.00673025343979014,-0.017388668430335097
Adrian Peterson,17.8,2021,1.5432098765432098e-4,NA,NA,NA,NA
Albert Okwuegbunam,18,2021,1.5432098765432098e-4,5.157297576070139e-4,0.002070393374741201,3.61408769952693e-4,0.00191607238708688
Albert Wilson,17.7,2021,0.0022376543209876544,0.0023207839092315627,NA,8.312958824390837e-5,NA
Alex Collins,17.5,2021,0.0010802469135802468,0.0015471892728210418,0.004140786749482402,4.66942359240795e-4,0.003060539835902155
Alexander Mattison,12.9,2021,0.09830246913580247,0.10417741103661682,0.08902691511387163,0.005874941900814348,-0.009275554021930837
Allen Lazard,16.8,2021,0.07611882716049383,0.06962351727694688,0.07039337474120083,-0.006495309883546949,-0.005725452419292995
Allen Robinson,3,2021,0.03811728395061728,0.02037132542547705,0.014492753623188406,-0.017745958525140233,-0.023624530327428873
Alvin Kamara,1,2021,0.07627314814814815,0.05466735430634347,0.033126293995859216,-0.021605793841804673,-0.04314685415228893
Amari Cooper,3.1,2021,0.07554012345679012,0.06601340897369778,0.051759834368530024,-0.009526714483092336,-0.023780289088260097
Amari Rodgers,16.4,2021,0.03942901234567901,0.03558535327488396,0.028985507246376812,-0.0038436590707950496,-0.0104435050993022
Amon-Ra St. Brown,14.5,2021,0.0878858024691358,0.08071170706549768,0.08695652173913043,-0.007174095403638114,-9.292807300053663e-4
Andy Dalton,17.8,2021,1.9290123456790122e-4,2.5786487880350697e-4,NA,6.496364423560575e-5,NA
Andy Isabella,17.8,2021,1.9290123456790122e-4,NA,NA,NA,NA
